videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
0595k2MlBFE,True,True,1,Education,1690,699,20221209,UC9wjeU_7LWvRpbl-uajspnw,@SgLubar,id
05aTV3GiCiw,True,True,1,Education,328,11254,20220513,UCKXpCt31_96-2PRDP3qZL-w,@DokterSasa,id
05bF5HmS3ws,True,True,3,Education,572,5667,20230911,UCTh8zcT04C8wVig2bewYQvQ,@CalonGuruNgawi,id
05cgi9cAhFk,True,True,2,Travel & Events,896,126,20201101,UCsElE5nRobg48D_qZm1g0iw,@mahendraza,id
05eWh9gZ66Y,True,True,1,Entertainment,224,3206,20220914,UC9q6a2pCT7PN7ynm80MTPgw,@JawaDwipa,id
05fgt-E07Hs,True,True,2,People & Blogs,45,91,20220309,UCW8CAy7x8q03LMryzGru_FQ,@parungpanjangcreator,id
05HIMKHB0pA,True,True,7,Entertainment,1817,3073,20230730,UCXFSHX4Wwsjvqk1_QlGNbug,@HV55555,id
05jkvglid4E,True,True,2,Sports,178,286,20220323,UCzNFM-pPGv8acdwSRA_WUsw,@radarreportofficial,id
05Jt7FnglWI,True,True,2,Howto & Style,332,381,20221014,UCjnGI4t7was5lgAFml2q-6A,@DapurBarry,id
05J-WXOjlkw,True,True,13,People & Blogs,358,603,20230707,UCMUac7E55531Zhef6oiiSCQ,@dengjstutorial,id
05K2vOe6mJI,True,True,3,Travel & Events,501,611,20210327,UC6JHHJ63JerymGSoq8QQiGg,@BIKERJELAJAHNUSANTARA,id
-05LqdGI1y4,True,True,1,People & Blogs,312,613,20220428,UCFprRveQF-d42wvhnV2bD1A,@takanaweddingofficial,id
05lyXh_OnQI,True,True,23,Autos & Vehicles,662,4223,20200903,UCpCFayGvpv1pIv_jeOs9hwQ,@Zandychannel,id
-0-5_NjMsIE,True,True,15,People & Blogs,625,2342,20221030,UCHWp4jixSuebMGx_kzYyj9A,@stolaircraftsuyanto9728,id
05p32YcF48U,True,True,2,People & Blogs,233,34506,20230322,UCWCa73aQcKI5Fv7wodpZW5Q,@ragiltuber8944,id
05sgIfXvLPw,True,True,2,Entertainment,57,1792,20230221,UCpwKX5WFVvRJq-RwB2vx1RQ,@informasi_unik,id
05sidmahdOo,True,True,2,News & Politics,515,338,20220529,UC73vOIBWULJ4U3cSWZqPStQ,@FtomyStory,id
05TgjtE7Ifs,True,True,1,Travel & Events,935,3439,20210116,UCvHezRq0JKeTy2Qg_tjfSTA,@JejakWisata1D,id
05WA5zqqw0s,True,True,57,Science & Technology,1485,478648,20201121,UCcIixL24IcxJsgcQHfQmuMQ,@ray12,id
05x-g8XN194,True,True,2,People & Blogs,904,1234,20221030,UCtc7EtUp-2NnkuRyOElMycg,@4hlitruss,id
05xVhwvXhYA,True,True,11,People & Blogs,1230,1172,20210105,UCkhN6LyIF1L2nHWV39CVr7A,@Buana79,id
0-5YdO1UgAQ,True,True,1,People & Blogs,340,205,20230309,UCYDeipYSIrT1XlOnT5fnltg,@DewiNurhayati,id
05YLUPUmRL8,True,True,1,Gaming,938,122547,20230124,UCa7n6Rk6zeE6PmaOsVbRQxQ,@DeegG,id
05Yz4IGSgN8,True,True,5,Autos & Vehicles,25,4943504,20230730,UCtS6M5xRf86hlVRtG7wdbHw,@DelishaDaanish,id
05Ze06ba1yw,True,True,1,Howto & Style,306,1269,20210724,UCR4TMEU8Dqaa_qvJwcyy8Gw,@dvrntutorialchannel9656,id
05zqJpqXSBc,True,True,1,Education,294,312,20220115,UC2Lv_u6NcxO60IUbpGWOPRw,@calonguruhebatabad21,id
063Q-UgeaRE,True,True,2,People & Blogs,171,215,20220629,UCZCYk1pvalZG6FPpcVrSDJQ,@unu88,id
067urSlUOqs,True,True,1,Travel & Events,515,805,20220827,UCXoHi-ojJcL_sM5V9ItjavA,@Jalan_Receh,id
06A4zgcvJSo,True,True,1,Howto & Style,463,26335,20210915,UCaNee90aYCu8ygIkbAAjXcg,@DailyRisa,id
06CQs2Jzgt4,True,True,20,People & Blogs,25,7230,20231011,UCVe0BWDWmA-W-1yRpt7OppQ,@indahnyadunia254,id
06DfSoA_QjI,True,True,3,News & Politics,447,210931,20220929,UCIjyug57zX3eK_So369qe0Q,@jettempurindonesia,id
06eEshI8G2A,True,True,2,Travel & Events,1194,173,20220913,UC4roUKXnjKu5RceYszuzeNQ,@WiraCitywalk,id
06eEsvouMLw,True,True,1,Education,380,379,20210921,UC3GPHYq3AJZWu3QmIO8v7wQ,@laboratoriumgeologiunisba579,id
06eKJo6NBdU,True,True,1,Autos & Vehicles,996,7029,20210628,UC9g1HRXdfaPqR76_OFs-SYw,@AndiChannel46,id
06esVTCkoF0,True,True,2,People & Blogs,178,5504,20221104,UCSFI5nBXIPi4-tjYjX5CIVQ,@TipsMartabak,id
06f4nzEoHXU,True,True,1,Travel & Events,805,25,20220611,UCYpJ1yEmvg2yFy5l6nUzjWw,@nikensmartini,id
06gTImfWAgk,True,True,1,Education,285,619,20230309,UCEV9rS4EZWmEi7-J482bSdQ,@SamuelSekuritasIndonesia,id
06HQlpY1TMI,True,True,1,Film & Animation,628,3760,20230717,UCzZA_zXvtS3PkA9FmWBwuJA,@dongocha,id
06IAoKH-RlU,True,True,2,Education,240,1281,20220519,UCY3BYk0iZvz2MVhgqZTD5IQ,@pelatihanonlineid2516,id
06jbBrNI-Mw,True,True,33,Howto & Style,1260,20369,20221016,UCPSoLUnVT86WeZTRR2yGgAw,@sekarendah,id
