videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
02BihcGCxTY,True,True,1,People & Blogs,227,407,20130828,UCBO1OJASeKzSGVpcdlQAKoA,@user-dh7eu4xm7r,ja
0_2C6LcdXps,True,True,4,Gaming,565,750,20230819,UCLkkrbfUggTdr_PuY7lKIrQ,@yotsuba2525,ja
02CfzP4Jn0A,True,True,9,Gaming,1030,185,20211213,UCPFfhPIXrjU6PmsV-9sehDQ,@haradasenmonka,ja
-02coaRIhs0,True,True,1,News & Politics,2885,63,20181211,UCn_N8IHt8VX-L5odV714mow,@lepetitprince6554,ja
02cpIMz_rWs,True,True,1,Nonprofits & Activism,901,1642,20170501,UCsENrD-VROPKG9RUwcIO6mw,@kohohiratsuka,ja
02cQQTN16Bk,True,True,1,News & Politics,254,82,20230630,UCOdDdk6YviJMv2uHRokIRoQ,@shamin-kumamoto,ja
02ctci8GpGo,True,True,10,Gaming,1801,70867,20221017,UCycCBxHNj4QvCXxkC8tFa3w,@maryhousing,ja
02dTKgPqkU8,True,True,4,Education,1388,92215,20221210,UCa7TxBQHNrYEDTluarnr_mg,@user-yu3xj6mg9o,ja
02dXlI4aG24,True,True,1,Gaming,600,18579,20230924,UCOAAHrzNfHOz5NnMM5UpStg,@lasagna_ch,ja
02DYCMEZ5bg,True,True,1,Sports,509,292,20230611,UCUs13aVagkQSczH_BEHzUeg,@kuratateo,ja
02ef7mAEXO8,True,True,1,Travel & Events,459,432300,20200125,UCN5Y7-z9wJ-eu5VMWSI4OEA,@ryosho,ja
