videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
0gkdKJxDCtE,False,True,1,Entertainment,305,5751,20210714,UCch71uM1HNf-aGQE2_EhuEw,@user-fs8wn6wf5k,
0gNLyHvLYlU,False,True,1,Education,759,21171,20221226,UCH2wf1hOp5aPtncInRlejdA,@topchan1298,
0GSU_vk2CdY,False,True,1,News & Politics,402,210,20221219,UCR3L0cy-0pa-xVvY1tTY7wg,@bangbangliangquan,
0-g-ttEEdew,False,True,1,Gaming,543,28314,20220628,UC9xEUSRrMWbbb-59IehNv3g,@YuushaAAA,
0gU2Kko7wqE,False,True,1,Education,611,28555,20230517,UCH2wf1hOp5aPtncInRlejdA,@topchan1298,
0_gU5DLW0Yw,False,True,1,News & Politics,518,7223,20230818,UCUqUtr0w-K8W4AfpbHiYSaQ,@8worldSG,
0GvWtREtHTU,False,True,1,Gaming,834,151,20231029,UC2m4uqcEr8pIxkO6odaDHjw,@hfok,
0gW1qX7OuEs,False,True,1,People & Blogs,59,15958,20210716,UCAS8QqEyGGH71xYgFzNSbuw,@mynotebooks,
0h1cnP1U2ow,False,True,1,Education,564,30848,20210602,UCH2wf1hOp5aPtncInRlejdA,@topchan1298,
0h_2AQMtTLY,False,True,1,Sports,396,129908,20220120,UCQwt0Vagw5LP6FLnHUH43tw,@SpicyBoys2021,
0hbco6xKnHk,False,True,1,Education,696,39155,20220331,UCH2wf1hOp5aPtncInRlejdA,@topchan1298,
0HBGfUFdzgA,False,True,1,News & Politics,182,85,20230315,UC5S2AVyMmffek3JAevVgB3A,@shishizhengzhi,
0hc1iSCm-eE,False,True,1,Travel & Events,188,17115,20230226,UC0Lfg2cnoeqboD4jGREjTRQ,@akeinchina,
0hkMSH8sEIs,False,True,1,People & Blogs,801,124,20230927,UC8lOqivoCVxw1egipfdD_mg,@InvestmentPlayer,
0HKP-Lwjrfw,False,True,1,People & Blogs,797,36588,20220107,UC-bok3D94D4yAiUKzOCF3LQ,@DongYT,
0hlneMlNfDQ,False,True,1,People & Blogs,669,1193,20211016,UCRf5-WvYzmVJRyR6P02ZI7g,@user-ik3nk2lq1h,
0h-nzjHa9FQ,False,True,1,People & Blogs,225,6970,20220206,UCm4DDr--7mKk4g6ccBr6arw,@user-oj8hk8vn8b,
0HuLMxYQ7Zo,False,True,1,Entertainment,714,0,20230623,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0HWeJFL13no,False,True,1,Gaming,490,23866,20220313,UCZlKAsQ4qQL9tBFq6R1EhIA,@smps90290,
0hx2byoKABo,False,True,1,Gaming,509,17249,20210613,UCV8TYAqWs1eNLZ4i4iysPpQ,@upigipig,
0hYPD0WGGqA,False,True,1,Entertainment,957,4,20230326,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0i6a8VEV4FU,False,True,1,People & Blogs,176,59,20221201,UCq95i4qgT3GKro0ZBnaSbeQ,@user-gp2dz8xw1z,
0IcedgEQrcE,False,True,1,People & Blogs,935,13,20231031,UCxkohn2PQoXOJa6KNEcEcKg,@1awakenedmind,
0ICLVnl8sSc,False,True,1,Entertainment,864,5,20230507,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0id2nM31jiA,False,True,1,Education,1886,77566,20231104,UCTI1ok_28BjLcuLurfPyyNw,@wakened888,
0if_xMmlilI,False,True,1,Education,602,83973,20220315,UCH2wf1hOp5aPtncInRlejdA,@topchan1298,
0ig4Q1iOfvQ,False,True,1,Entertainment,691,1199,20210612,UCeULuUZMB0ANfI4Bv99K64A,@user-vi8bp1ew2e,
0IK_a8JBSnY,False,True,1,Entertainment,272,42,20201231,UCFyiNmY423YMqOwMG1EnMHQ,@mr.kunboxing2198,
0iVVGaVm3dw,False,True,1,People & Blogs,535,945,20230131,UCu5_gUouOSGxsAXVUvc1DZg,@SHUXIELENGZHISHI,
0IyKQ2YGcm4,False,True,1,People & Blogs,601,1497,20230228,UCGWPmyU1DpZfxNQRonvSFJw,@LiangziInterview,
0J7IJwGR4fo,False,True,1,Entertainment,511,17,20230911,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0jIvKoxido4,False,True,1,Travel & Events,602,74,20210319,UCf-13_kO1UlYXpXjFYzy6Dw,@user-ml7wx2ko5f,
0JObZeWvM20,False,True,1,Entertainment,678,24,20230728,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0JSjkkV5XkA,False,True,1,Music,1415,60,20230206,UCLHSemdIeKej7Q-rkxIexmQ,@FM-eb3tj,
0JtQO6moHcI,False,True,1,People & Blogs,884,63442,20201014,UC93Gp4PWv7A53p33BEYOBrA,@BeckieAnalysis,
0Jx_C2AKbqc,False,True,1,Science & Technology,180,9262,20210713,UCcgMP8DNORghcNmT3cUNioQ,@PengTV,
0jY-K1dT32U,False,True,1,People & Blogs,383,57,20230521,UC5omPK3FGKctq7Gpk6qp5gg,@junshiqianxian,
0kcxSRtxeYk,False,True,1,Education,108,24,20220818,UCXG_HBlBEtx2-wIcfRj1iQA,@manyameditation,
0KFsndYI7yU,False,True,1,People & Blogs,236,1790,20200326,UCJtqxnBFB9pM9kYOVQ9kLKQ,@revol8546,
0kfWGfd5iM0,False,True,1,Gaming,62,128,20230423,UCa9jzfO6vS4ftLFC0gvJYBw,@shuizige,
0kkEjOimDZw,False,True,1,Howto & Style,232,114,20210510,UCai73VfkrC5yRBxZMpnlzYA,@OK-pw8sg,
